,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
78,0,0,0,0,0,0,1,4435
79,6,4,15,19336,13,124,0,4435
80,2,5,5,9128,6,60,0,4434
81,5,11,9,19666,11,154,0,4434
82,3,7,9,7750,8,71,1,4434
83,3,10,8,20233,12,153,1,4434
84,27,14,13,35334,11,266,0,4435
85,2,8,12,4831,6,48,0,4435
86,2,2,3,3472,4,12,1,4435
87,2,10,7,17555,12,185,0,4435
88,4,5,13,4926,7,40,0,4435
89,2,8,6,3812,6,33,0,4435
90,2,8,3,7275,3,43,1,4435
91,2,5,3,10219,9,45,0,4435
92,10,10,8,20095,8,283,0,4435
93,3,8,8,11611,11,74,0,4433
94,3,9,7,13727,10,145,0,4433
95,2,15,18,11532,12,161,0,4433
96,2,7,6,8307,6,53,1,4434
97,0,1,3,1932,5,16,1,4434
98,0,0,0,300,2,2,1,4434
99,90,20,9,27384,12,224,1,4433
100,0,0,0,0,0,0,1,4433
101,0,0,0,47,1,2,1,4433
102,1,6,4,18903,8,112,1,4433
103,2,4,11,11150,10,84,0,4433
104,15,17,12,21306,14,306,1,4434
105,2,13,8,10592,11,76,1,4434
106,0,0,0,948,3,6,1,4434
107,0,4,4,3349,6,49,1,4434
108,7,22,21,16071,14,190,0,4434
109,26,38,14,39892,12,427,0,4434
110,0,0,0,0,0,0,1,4434
111,6,5,13,21679,15,205,0,4435
112,11,26,15,37188,16,338,0,4435
113,3,15,5,10403,13,107,1,4435
114,2,1,4,6238,3,50,1,4434
115,2,4,5,6143,5,42,1,4434
116,2,7,5,7921,8,49,1,4434
117,5,7,7,15929,12,119,0,4434
118,3,7,2,8759,3,53,1,4434
119,0,7,4,11852,10,70,1,4434
120,0,7,4,11852,10,70,1,4434
121,4,12,7,9544,9,139,1,4434
122,6,10,5,16050,7,194,1,4435
123,22,4,4,19464,4,109,0,4435
124,34,29,15,54101,20,503,0,4435
125,1,7,5,5900,2,48,1,4435
126,2,1,3,1570,3,36,1,4433
127,1,0,4,2745,3,51,1,4433
128,13,3,9,6580,8,44,1,4433
129,0,0,0,1159,3,17,1,4433
130,2,2,4,3950,7,23,1,4434
131,2,6,8,6272,10,64,0,4434
132,23,12,5,22489,11,141,0,4434
133,2,3,4,1614,5,15,1,4433
134,2,3,7,4464,7,58,0,4433
135,6,17,12,13730,8,75,1,4433
136,0,0,0,0,0,0,1,4433
137,74,23,11,27050,7,176,0,4433
138,16,11,13,13317,11,119,0,4433
139,0,0,0,0,0,0,1,4433
140,6,10,11,7498,8,73,0,4434
141,14,11,6,12608,12,105,0,4434
142,2,69,26,31496,12,481,0,4434
143,4,9,8,18982,11,114,1,4434
144,16,20,7,12107,6,132,1,4434
145,0,14,13,18403,12,120,1,4435
146,3,2,14,8152,7,101,1,4435
147,43,23,14,35169,19,215,0,4435
148,2,9,8,7921,5,62,1,4435
149,4,22,23,31162,12,277,0,4433
150,8,5,0,4732,5,35,1,4434
151,0,0,0,0,0,0,1,4433
152,1,3,4,11631,4,58,1,4433
153,6,7,19,13088,12,123,1,4433
154,0,2,2,2737,7,23,1,4433
155,2,0,0,2920,2,26,1,4114
156,0,0,0,0,0,0,1,4114
157,3,4,3,4937,4,47,1,4114
158,12,7,4,10807,7,130,1,4114
159,0,4,2,5964,7,37,1,4114
