,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
280,3,1176,27,2399,6,38016,0,4912
281,1,0,9,379,1,12642,1,4912
282,1,0,11,1127,4,26530,1,4912
283,3,5786,40,2124,26,58697,0,4912
284,3,3581,89,4661,27,62970,0,4912
285,3,4227,47,4155,15,31931,0,4912
286,3,8883,248,3650,27,63715,0,4912
287,3,2840,49,2179,48,47122,0,4912
288,3,12606,143,7079,21,72581,0,4912
289,0,0,0,16,0,7660,1,4912
290,0,0,2,0,0,13823,1,4912
291,1,538,18,2992,4,15621,0,4912
292,3,3682,37,3824,10,37029,0,4912
293,3,517,30,2008,9,11113,0,4912
294,3,1933,77,2036,18,42409,0,4912
295,3,4590,41,2888,9,22635,0,4912
296,0,300,0,57,1,6763,1,4912
297,2,11171,34,1254,59,48033,0,4912
298,2,0,22,3860,0,20286,0,4912
299,0,0,21,0,0,34159,1,4912
300,3,9366,54,5464,22,72680,0,4912
301,3,1667,54,7132,16,64835,0,4912
302,3,9914,66,5903,29,68901,0,4912
303,3,1695,60,8285,16,56704,0,4912
304,3,7611,291,3624,31,91071,0,4912
305,3,13952,73,5644,15,99112,0,4912
306,3,1308,77,4477,19,40676,0,4912
307,3,948,66,3828,24,60215,0,4912
308,3,9659,71,4261,51,66866,0,4912
309,3,9034,104,8404,24,70978,0,4912
310,3,1281,40,5069,16,49035,0,4912
311,3,4503,116,6601,17,62248,0,4912
312,3,3894,63,3801,22,78249,0,4912
313,1,504,5,820,11,25697,1,4912
314,3,8137,74,10571,52,78268,0,4912
315,2,4943,35,5049,14,43715,0,4912
316,0,1343,10,0,6,19263,0,4912
317,3,3384,63,6454,16,68558,0,4912
318,2,336,42,2687,4,32928,1,4912
319,3,9818,36,4402,20,63241,0,4912
320,2,1742,29,4316,1,21649,0,4912
321,3,10795,379,6739,70,135230,0,4912
322,2,4502,56,4571,11,47488,0,4912
323,1,0,23,2047,5,33091,1,4912
324,3,6132,37,4498,50,55504,0,4912
325,3,5673,154,5204,18,83381,0,4912
326,3,3814,67,6550,16,78984,0,4912
327,3,1020,32,2982,24,61021,0,5102
328,1,1404,10,1640,5,24119,0,5102
329,2,1053,28,1466,6,17170,0,5102
330,3,3167,55,5963,10,47498,0,5102
331,0,0,1,0,0,1580,1,5102
332,3,2867,36,2399,24,62986,0,5102
333,2,332,20,2543,5,10409,1,5102
334,1,0,6,2596,0,5986,1,5102
335,0,0,1,0,0,3326,1,5102
336,3,2678,39,1987,32,37575,0,5102
337,3,2973,46,6061,18,61353,0,5102
338,2,1544,94,5974,9,18805,0,5102
339,1,0,18,1389,1,18677,1,5102
340,3,1606,43,3886,7,51957,0,5102
341,3,642,29,2512,10,19989,0,5102
342,3,489,46,5306,7,16170,0,5102
343,3,885,27,4666,16,38850,0,5102
344,3,9199,107,6083,44,71293,0,5102
345,1,146,19,1107,1,16560,0,5102
346,3,8068,57,6500,32,80083,0,5102
347,3,300,47,2248,7,25890,1,5102
348,3,2916,42,8970,12,85647,0,5102
349,3,3178,36,4619,7,43981,0,5102
350,3,1059,61,5045,22,30362,0,5102
351,2,912,27,3443,4,39457,0,5102
352,2,1438,28,3739,4,31813,0,5102
353,3,4117,75,13759,31,82976,0,5102
