,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
640,2864,6,0,25,33,6,0,6398
641,0,0,0,0,0,0,1,6398
642,10760,3,4,0,66,12,0,6398
643,4041,0,0,0,24,7,1,6398
644,13039,27,6,31,123,6,0,6398
645,11641,5,6,0,94,10,0,6398
646,14485,2,6,0,80,9,0,6398
647,4630,0,1,0,38,5,1,6398
648,6094,2,3,0,42,7,0,6398
649,3129,3,0,0,14,6,1,6398
650,10691,3,1,0,114,11,0,6398
651,8459,2,2,0,52,4,0,6398
652,22073,12,1,36,206,19,0,6398
653,20252,6,13,8,307,10,0,6398
654,14535,10,13,110,141,8,0,6398
655,5239,3,2,0,42,6,1,6398
656,8736,10,2,0,86,10,0,6398
657,13246,7,6,0,116,8,0,6398
658,3076,0,6,0,22,2,1,6398
659,3427,0,0,0,22,4,1,6398
660,7819,1,3,0,89,7,0,6398
661,52905,36,74,0,342,18,0,6398
662,11559,11,11,90,96,10,0,6398
663,9257,8,15,0,96,8,0,6398
664,30282,17,40,0,220,16,0,6398
665,6722,3,0,0,35,5,1,6398
666,19281,9,10,13,155,14,0,6398
667,14910,6,18,0,122,15,0,6398
668,12911,8,3,0,78,11,0,6398
669,0,0,0,0,0,0,1,6398
670,9800,6,4,0,54,8,0,6398
671,11647,5,5,0,109,8,0,6398
672,7457,3,6,0,42,7,1,6398
673,18395,17,1,0,217,13,0,6398
674,2754,4,1,0,16,5,1,6398
675,10327,4,4,0,93,9,0,6398
676,12226,7,3,0,78,9,0,6398
677,11425,1,3,0,91,8,1,6398
678,9240,2,3,0,45,11,1,6398
679,13141,8,7,0,114,17,0,6398
680,15487,4,2,0,140,11,0,6398
681,38043,7,12,0,426,16,0,6398
682,24462,10,2,0,167,17,1,6398
683,9312,2,1,0,81,10,1,6398
684,42037,17,4,322,329,18,1,6398
685,21912,26,15,25,205,11,0,6398
686,22334,5,14,0,190,13,0,6398
687,17586,16,14,0,184,9,0,6398
688,11029,2,2,0,72,8,0,6398
689,5176,4,2,0,30,7,1,6398
690,12264,4,3,0,120,9,1,6398
691,5809,0,2,0,62,4,1,6398
692,8673,2,7,0,87,5,1,7098
693,17792,8,10,0,108,8,0,7098
694,16516,1,3,0,167,10,0,7098
695,0,0,0,0,0,0,1,7098
696,50760,49,19,0,423,16,0,7098
697,5970,4,5,0,59,8,0,7098
698,5677,1,0,0,24,6,1,7098
699,8091,11,7,54,87,7,0,7098
700,5049,0,5,0,18,2,1,7098
701,4498,0,5,0,48,7,1,7098
702,15153,3,21,0,120,7,0,7098
703,15031,6,5,0,108,9,0,7098
704,14829,8,7,0,113,12,0,7098
705,0,0,0,0,0,0,1,7098
706,4908,3,4,0,76,7,0,7098
707,10602,3,20,21,113,6,0,7098
708,349,0,0,0,2,1,1,7098
709,1391,1,0,0,9,4,1,7098
710,7521,12,8,0,61,6,0,7098
711,2886,3,1,0,32,4,1,7098
712,37655,19,130,15,344,15,0,7098
713,13916,13,18,93,109,6,0,7098
714,6519,1,3,0,58,5,0,7098
715,0,0,0,0,0,0,1,7098
716,17822,12,14,0,137,15,1,7098
717,5629,6,12,497,71,7,1,7098
718,25552,8,65,16,149,12,1,7098
719,15365,12,32,0,107,8,0,7098
720,12316,5,3,0,89,6,1,7098
721,11755,11,7,0,136,5,0,7098
722,31923,23,12,21,363,18,0,7098
723,9918,9,3,0,100,9,0,7098
724,1005,1,0,0,8,3,1,7098
725,16267,9,14,0,170,10,0,7098
726,10176,8,5,0,108,9,0,7098
727,27797,23,17,10,229,21,0,7098
728,1266,2,0,0,7,4,1,7098
729,8579,8,26,17,79,4,1,7098
730,24233,18,34,0,195,9,0,7098
731,600,0,0,0,2,2,1,7098
732,0,0,0,0,1,1,1,7098
733,11150,12,19,0,119,11,1,7098
734,11006,13,8,0,140,10,0,7098
735,7921,9,7,0,103,6,1,7098
736,22217,11,33,15,169,9,0,7098
737,9605,6,2,0,133,11,0,7098
738,25965,14,103,0,226,10,0,7098
739,27529,13,7,619,211,15,0,7098
740,17004,19,9,20,157,11,0,7098
741,28463,17,10,0,227,10,0,7098
742,23662,8,43,0,188,14,0,7098
743,300,0,0,0,1,1,1,7098
744,18983,6,20,0,188,13,0,7098
745,9041,5,0,0,78,8,0,7098
746,9159,15,1,0,61,9,0,7098
747,9134,6,6,0,87,5,0,7098
748,11393,5,14,0,70,7,0,7098
749,3414,1,1,0,34,4,1,7098
750,6484,7,6,0,83,8,1,7098
751,37173,21,53,17,406,13,0,7098
752,25200,5,1,43,164,12,0,7098
753,35192,19,27,0,267,15,1,7098
754,15952,10,3,0,180,13,0,7098
755,26548,20,6,0,263,11,0,7098
756,7926,5,5,0,59,8,0,7098
757,23481,14,21,15,153,14,0,7098
758,15406,14,5,13,199,15,1,7098
759,11093,2,3,0,91,5,0,7098
760,15930,5,30,0,125,6,0,7098
761,0,0,0,0,0,0,1,7098
762,300,0,0,0,1,1,1,7098
763,1737,0,2,0,37,3,1,7098
764,8140,7,5,0,45,8,0,7098
765,3506,1,2,0,24,3,0,7098
766,10318,5,5,0,123,8,0,7098
767,1598,1,0,0,8,3,1,7098
768,30743,14,31,4,351,12,0,7098
769,19995,10,3,0,202,13,0,7098
770,21276,26,7,13,286,11,1,7098
771,4970,1,1,0,26,6,0,7118
772,11200,6,3,0,56,9,0,7118
773,17164,11,18,0,93,15,0,7118
774,15084,6,21,0,146,9,0,7118
775,3161,3,0,0,14,5,0,7118
776,10012,2,10,0,139,6,1,7118
777,19971,11,8,16,249,14,0,7118
778,16958,7,5,0,119,7,1,7118
779,15771,6,8,0,133,10,1,7118
780,18960,16,13,150,284,16,0,7118
781,27400,24,23,21,247,16,0,7118
782,27298,11,16,40,215,16,0,7118
783,5642,5,1,0,75,7,0,7118
784,8722,3,5,0,93,7,0,7118
785,15195,14,13,0,92,12,0,7118
786,9960,10,9,190,99,9,0,7118
787,15629,5,5,0,168,14,0,7118
788,11920,9,17,0,115,11,0,7118
789,9971,12,5,0,153,11,0,7118
790,9468,4,3,0,113,10,1,7118
791,17113,5,5,81,113,9,0,7118
792,20211,11,15,247,145,14,1,7118
793,1511,1,2,0,13,2,1,7118
794,25833,12,29,0,187,12,0,7118
795,4507,4,0,0,20,6,1,7118
796,47033,19,31,0,231,19,0,7118
797,20388,21,20,56,205,15,0,7118
798,12676,16,6,0,158,5,0,7118
799,16764,23,15,0,139,10,0,7118
800,4206,2,0,0,37,8,1,7118
801,11241,0,4,0,116,5,1,7118
802,1115,0,0,0,12,2,1,7118
803,10517,11,9,0,112,9,0,7118
804,34163,18,18,384,236,17,0,7118
805,11420,3,5,19,74,6,0,7118
806,7483,5,4,0,64,7,0,7118
807,5761,8,3,0,37,3,1,7118
808,11902,8,5,0,111,15,0,7118
809,3307,2,0,0,29,6,1,7118
810,11632,14,2,17,157,14,0,7118
811,5631,2,1,0,34,7,1,7118
812,17309,9,11,0,125,13,1,7118
813,11290,3,5,0,112,7,0,7118
814,6208,0,81,0,27,6,1,7118
815,9966,4,2,43,79,12,0,7118
816,5453,2,5,0,100,8,1,7118
817,8655,7,9,0,56,3,1,7118
818,7440,1,2,0,66,4,0,7118
819,22798,16,18,0,252,16,0,7118
820,11423,6,2,0,53,6,1,7118
821,3093,1,0,0,21,3,1,7118
822,16935,5,17,0,192,9,0,7118
823,5597,7,1,0,38,9,0,7118
824,15020,7,4,0,115,8,0,7118
825,10293,11,4,0,72,12,1,7118
826,31294,10,5,350,316,11,0,7118
827,5226,2,1,0,47,4,1,7118
828,9856,1,2,0,80,10,1,7118
829,2971,3,2,0,25,6,0,7118
830,53761,27,63,101,788,16,0,7118
831,14661,3,3,0,113,6,1,7118
832,8098,5,3,0,79,12,0,7118
833,12281,10,7,10,135,10,0,7118
834,5793,5,3,0,54,5,1,7118
835,10836,7,27,0,71,9,0,7118
836,6713,1,2,0,46,4,1,7118
837,18674,12,6,0,153,13,0,7118
838,1236,0,0,0,16,3,1,7118
839,26816,17,7,300,231,17,0,7118
840,15495,2,17,0,135,9,1,7118
841,14718,15,7,0,157,9,0,7118
842,0,0,0,0,0,0,1,7118
843,12385,15,13,0,103,7,1,7118
844,7574,5,2,0,98,7,1,7118
845,11334,0,8,0,138,7,0,7118
846,50517,17,54,0,435,15,0,7118
847,19352,2,9,0,211,11,1,7118
848,15398,1,12,0,124,6,1,7118
849,52227,19,14,0,536,13,0,7118
850,19934,12,5,14,173,15,0,7118
851,17841,7,11,0,120,11,0,7118
852,22021,6,19,0,177,13,0,7118
853,40589,6,16,0,324,13,0,7118
854,12805,4,9,0,132,12,1,7118
855,39311,15,43,0,382,16,0,7118
856,30946,30,18,0,346,13,0,7118
857,9742,10,4,22,79,6,1,7118
858,7977,15,0,0,65,5,1,7118
859,11354,1,5,0,70,7,0,7274
860,10023,8,8,0,87,12,0,7274
861,551,0,0,0,8,1,1,7274
862,4033,1,1,0,31,4,1,7274
863,4204,2,0,0,60,4,1,7274
864,23718,8,13,0,272,11,0,7274
865,5335,3,4,0,56,5,1,7274
866,1203,0,0,0,8,1,1,7274
867,9593,1,4,0,71,6,0,7274
868,2282,0,2,0,26,1,1,7274
869,11400,14,12,0,146,8,0,7274
870,6453,8,6,0,76,9,1,7274
871,5206,2,6,0,69,9,1,7274
872,3857,13,2,0,50,8,1,7274
873,3165,0,0,0,47,4,0,7274
874,0,0,0,0,1,1,1,7274
875,6730,4,1,0,34,7,1,7274
876,5084,6,1,0,52,8,1,7274
877,982,2,0,0,6,3,1,7274
878,8627,3,6,0,69,5,1,7274
879,3388,8,5,0,28,4,0,7274
880,8951,9,8,0,104,12,0,7274
881,0,0,0,0,0,0,1,7274
882,8506,4,8,0,63,3,1,7274
883,6574,3,1,0,40,6,0,7274
884,4117,2,1,0,19,6,0,7274
885,16793,7,9,0,109,8,0,7274
886,2484,1,1,0,24,5,1,7274
887,10889,10,9,0,134,13,0,7274
888,13857,7,5,0,115,9,0,7274
889,6272,6,5,0,44,7,0,7274
890,11489,8,7,0,106,10,0,7274
891,22359,7,24,0,143,13,1,7274
892,11741,6,3,0,65,11,1,7274
893,2850,2,2,0,32,4,1,7274
894,7753,4,1,0,50,9,0,7274
895,3548,5,6,0,29,3,0,7274
896,0,0,0,0,0,0,1,7274
897,3155,1,0,0,15,4,0,7274
898,0,0,0,0,0,0,1,7274
899,9047,18,9,0,121,9,0,7274
900,24799,22,40,0,303,10,0,7274
901,11945,7,6,0,96,9,1,7274
902,379,0,0,0,4,1,1,7274
903,0,0,0,0,0,0,1,7274
904,826,0,0,0,6,2,0,7274
905,65116,29,56,0,679,20,0,7274
906,4798,2,3,0,76,7,0,7274
907,8507,13,2,0,55,7,0,7274
908,860,0,0,0,9,2,1,7274
909,28815,11,37,0,209,15,0,7274
910,10287,9,7,0,118,8,0,7274
911,0,0,0,0,0,0,1,7274
912,16944,10,28,0,130,7,1,7274
913,15576,9,37,0,123,9,0,7274
914,11037,20,13,0,129,6,1,7274
915,2963,2,0,0,15,7,1,7274
916,350,0,0,0,3,1,1,7274
917,12625,3,6,0,73,9,0,7274
918,11837,1,1,0,73,8,1,7274
919,0,0,0,0,0,0,1,7274
920,654,1,0,0,5,2,1,7274
921,24241,11,20,0,198,13,1,7274
922,0,0,0,0,0,0,1,7274
923,9363,6,0,0,64,7,0,7274
924,10074,4,1,0,63,9,1,7274
925,0,0,0,0,0,0,1,7274
926,7845,3,3,0,64,10,0,7274
927,4954,0,2,0,43,3,1,7274
928,0,0,0,0,0,0,1,7274
929,1521,1,0,0,10,4,0,7274
930,5765,0,8,0,56,3,1,7274
931,0,0,0,0,0,0,1,7274
932,370,0,0,0,6,1,1,7274
933,13891,5,33,0,103,9,1,7274
934,6412,5,3,0,71,4,1,7274
935,9219,0,3,0,131,9,1,7502
936,7381,7,3,0,94,8,0,7502
937,2618,7,0,0,25,2,1,7502
938,1853,3,0,0,7,6,0,7502
939,12769,3,12,0,231,11,0,7502
940,11099,18,12,0,135,4,1,7502
